time,open,high,low,close
2022-08-19T16:30:00+03:00,4258.17,4259.94,4233.18,4237.7
2022-08-19T17:30:00+03:00,4237.97,4241.48,4223.92,4229.08
2022-08-19T18:30:00+03:00,4229.03,4236.94,4225.42,4232.53
2022-08-19T19:30:00+03:00,4232.5,4243.28,4231.26,4234.47
2022-08-19T20:30:00+03:00,4234.48,4236.05,4226.9,4230.35
2022-08-19T21:30:00+03:00,4230.38,4231.65,4218.7,4229.24
2022-08-19T22:30:00+03:00,4229.29,4233.92,4225.94,4228.49
2022-08-22T16:30:00+03:00,4195.08,4195.08,4153.01,4154.95
2022-08-22T17:30:00+03:00,4154.84,4160.37,4149.39,4156.13
2022-08-22T18:30:00+03:00,4156.07,4163.11,4154.15,4157.41
2022-08-22T19:30:00+03:00,4157.4,4161.36,4146.99,4147.61
2022-08-22T20:30:00+03:00,4147.51,4147.51,4137.32,4139.18
2022-08-22T21:30:00+03:00,4139.21,4143.29,4131.59,4137.56
2022-08-22T22:30:00+03:00,4137.56,4141.35,4129.86,4138
2022-08-23T16:30:00+03:00,4133.63,4159.77,4129.88,4146.71
2022-08-23T17:30:00+03:00,4146.69,4154.64,4126.91,4134.12
2022-08-23T18:30:00+03:00,4134.08,4140.91,4124.03,4124.49
2022-08-23T19:30:00+03:00,4124.42,4140.13,4124.21,4139.27
2022-08-23T20:30:00+03:00,4139.28,4141.39,4127.1,4136.65
2022-08-23T21:30:00+03:00,4136.63,4140.35,4130.95,4136.62
2022-08-23T22:30:00+03:00,4136.67,4137.57,4127.34,4128.72
2022-08-24T16:30:00+03:00,4125.71,4141.87,4119.97,4139.05
2022-08-24T17:30:00+03:00,4139.04,4151.49,4130.45,4150.2
2022-08-24T18:30:00+03:00,4150.27,4156.56,4148.71,4149.98
2022-08-24T19:30:00+03:00,4149.98,4149.98,4131.42,4131.82
2022-08-24T20:30:00+03:00,4131.83,4139.72,4131.05,4138.48
2022-08-24T21:30:00+03:00,4138.5,4147.37,4132.89,4143.55
2022-08-24T22:30:00+03:00,4143.59,4150.12,4139.21,4140.76
2022-08-25T16:30:00+03:00,4157.41,4180.91,4147.59,4179.22
2022-08-25T17:30:00+03:00,4179.23,4183.73,4156.4,4162.61
2022-08-25T18:30:00+03:00,4162.62,4167.54,4157.13,4162.46
2022-08-25T19:30:00+03:00,4162.46,4167.74,4153.38,4166.87
2022-08-25T20:30:00+03:00,4166.92,4175.32,4166.44,4174.86
2022-08-25T21:30:00+03:00,4174.9,4180.49,4166.74,4180.06
2022-08-25T22:30:00+03:00,4180.09,4200.54,4176.35,4199.11
2022-08-26T16:30:00+03:00,4200.62,4203.04,4150.92,4153.91
2022-08-26T17:30:00+03:00,4153.88,4153.88,4106.45,4116.89
2022-08-26T18:30:00+03:00,4116.93,4123.65,4100.91,4104.92
2022-08-26T19:30:00+03:00,4104.97,4111.91,4099.51,4106.59
2022-08-26T20:30:00+03:00,4106.63,4106.64,4086.23,4089.87
2022-08-26T21:30:00+03:00,4089.94,4091.66,4073.08,4076.43
2022-08-26T22:30:00+03:00,4076.47,4077.02,4057.66,4057.66
2022-08-29T16:30:00+03:00,4024.02,4049.46,4021.6,4040.32
2022-08-29T17:30:00+03:00,4040.09,4044.13,4017.42,4027.11
2022-08-29T18:30:00+03:00,4027.09,4049.19,4024.27,4043.33
2022-08-29T19:30:00+03:00,4043.33,4057.25,4036.36,4049.47
2022-08-29T20:30:00+03:00,4049.57,4062.99,4043.04,4045.55
2022-08-29T21:30:00+03:00,4045.62,4060.38,4042.36,4046.79
2022-08-29T22:30:00+03:00,4046.8,4052.16,4029.19,4030.6
2022-08-30T16:30:00+03:00,4043.62,4044.98,4001.37,4005.79
2022-08-30T17:30:00+03:00,4005.8,4007,3968.9,3991.93
2022-08-30T18:30:00+03:00,3992.04,4003.08,3985.73,3991.95
2022-08-30T19:30:00+03:00,3991.95,3992.27,3970.7,3975.76
2022-08-30T20:30:00+03:00,3976.02,3984.63,3965.21,3975.18
2022-08-30T21:30:00+03:00,3974.47,3997.82,3973.41,3989.53
2022-08-30T22:30:00+03:00,3989.45,3992.44,3975.63,3986.15
2022-08-31T16:30:00+03:00,4000.67,4015.37,3983.26,3984.72
